Ref_lead_author	Ref_publication_date	Ref_journal	Cell_stack_sequence	Cell_area_measured	Cell_number_of_cells_per_substrate	Cell_architecture	Cell_flexible	Cell_semitransparent	Module	Module_number_of_cells_in_module	Substrate_stack_sequence	ETL_stack_sequence	ETL_deposition_procedure	Perovskite_single_crystal	Perovskite_dimension_0D	Perovskite_dimension_2D	Perovskite_dimension_2D3D_mixture	Perovskite_dimension_3D	Perovskite_dimension_3D_with_2D_capping_layer	Perovskite_dimension_list_of_layers	Perovskite_composition_perovskite_ABC3_structure	Perovskite_composition_perovskite_inspired_structure	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite_composition_leadfree	Perovskite_band_gap	Perovskite_band_gap_graded	Perovskite_band_gap_estimation_basis	Perovskite_deposition_number_of_deposition_steps	Perovskite_deposition_procedure	Perovskite_deposition_aggregation_state_of_reactants	Perovskite_deposition_synthesis_atmosphere	Perovskite_deposition_solvents	Perovskite_deposition_solvents_mixing_ratios	Perovskite_deposition_quenching_induced_crystallisation	Perovskite_deposition_thermal_annealing_temperature	Perovskite_deposition_thermal_annealing_time	Perovskite_deposition_solvent_annealing	HTL_stack_sequence	HTL_additives_compounds	HTL_deposition_procedure	Backcontact_stack_sequence	Backcontact_thickness_list	Backcontact_deposition_procedure	Add_lay_front	Add_lay_back	Encapsulation	JV_measured	JV_average_over_n_number_of_cells	JV_certified_values	JV_light_intensity	JV_reverse_scan_Voc	JV_reverse_scan_Jsc	JV_reverse_scan_FF	JV_reverse_scan_PCE	JV_default_Voc	JV_default_Jsc	JV_default_FF	JV_default_PCE	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
Liu et al.	2015/5/14	Nanoscale	PET | AZO | Ag | AZO | PEDOT:PSS | Perovskite | PCBM-60 | Au	0.1	0	pin	TRUE	FALSE	FALSE	0	PET | AZO | Ag | AZO	PCBM-60	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	Unknown		FALSE	95	15	FALSE	PEDOT:PSS	AgOTf-doped GO	Spin-coating	Au	1000	Evaporation	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.88	12.75	0.702	7.87	0.88	12.75	0.702	7.87	Reversed	Reversed	Reversed	Reversed	buffer
Chu et al.	2019/1/18	physica status solidi (a)	SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.67	7.74	0.29	1.46	0.67	7.74	0.29	1.46	Reversed	Reversed	Reversed	Reversed	buffer
Chu et al.	2019/1/18	physica status solidi (a)	SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.77	9.66	0.5	3.69	0.77	9.66	0.5	3.69	Reversed	Reversed	Reversed	Reversed	buffer
Chu et al.	2019/1/18	physica status solidi (a)	SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.83	17.57	0.6	8.79	0.83	17.57	0.6	8.79	Reversed	Reversed	Reversed	Reversed	buffer
Chu et al.	2019/1/18	physica status solidi (a)	SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.87	21.74	0.62	11.58	0.87	21.74	0.62	11.58	Reversed	Reversed	Reversed	Reversed	buffer
Chu et al.	2019/1/18	physica status solidi (a)	SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	FALSE	FALSE	FALSE	0	SLG | ITO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.82	22.21	0.54	9.88	0.82	22.21	0.54	9.88	Reversed	Reversed	Reversed	Reversed	buffer
Chu et al.	2019/1/18	physica status solidi (a)	PET | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.06	0	nip	TRUE	FALSE	FALSE	0	PET | ITO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.83	19.34	0.45	7.33	0.83	19.34	0.45	7.33	Reversed	Reversed	Reversed	Reversed	buffer
He et al.	2018/10/19	ACS Applied Materials & Interfaces	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF	1	FALSE	85	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	70	Evaporation	FALSE	FALSE	FALSE	TRUE	30	FALSE	100	1.05	21.76	0.762	17.42	1.05	21.76	0.762	17.42	Reversed	Reversed	Reversed	Reversed	buffer
He et al.	2018/10/19	ACS Applied Materials & Interfaces	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF	1	FALSE	85	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	70	Evaporation	FALSE	FALSE	FALSE	TRUE	30	FALSE	100	1.03	20.84	0.74	15.92	1.03	20.84	0.74	15.92	Reversed	Reversed	Reversed	Reversed	buffer
He et al.	2018/10/19	ACS Applied Materials & Interfaces	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF	1	FALSE	85	60	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	70	Evaporation	FALSE	FALSE	FALSE	TRUE	30	FALSE	100	0.98	20.99	0.678	14.09	0.98	20.99	0.678	14.09	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Candle soot | FTO	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	Candle soot | FTO | SLG		Candel burning | Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.81	7.15	0.28	1.73	0.81	7.15	0.28	1.73	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Candle soot | FTO	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	Candle soot | FTO | SLG		Candel burning | Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.84	11.75	0.46	4.56	0.84	11.75	0.46	4.56	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Candle soot | FTO	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	Candle soot | FTO | SLG		Candel burning | Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.88	16.5	0.67	9.78	0.88	16.5	0.67	9.78	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | FTO	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	FTO		Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.5	2.39	0.31	0.37	0.5	2.39	0.31	0.37	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Pt-sheet	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	Pt-sheet		Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.4	0.5	0.15	0.03	0.4	0.5	0.15	0.03	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Ag-sheet	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	Ag-sheet		Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.4	1.35	0.29	0.16	0.4	1.35	0.29	0.16	Reversed	Reversed	Reversed	Reversed	buffer
Wei et al.	2014/8/12	Energy Environ. Sci.	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Carbon Paper	0.15	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spray-pyrolys | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> CBD	Liquid >> Liquid	N2 >> N2	DMF >> IPA	1 >> 1	FALSE	Unknown >> 70	Unknown >> 15.0	FALSE	none		Unknown	Carbon-paper		Sandwiching	FALSE	FALSE	FALSE	TRUE	2	FALSE	100	0.65	1.5	0.15	0.15	0.65	1.5	0.15	0.15	Reversed	Reversed	Reversed	Reversed	buffer
Dong et al.	2015/6/23	Energy & Environmental Science	SLG | ITO | PEDOT:PSS | Perovskite | PCBM-60 | C60 | BCP | Al	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60 | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> Spin-coating	Liquid >> Liquid	Unknown	DMF >> IPA	1 >> 1	FALSE	Unknown >> 60.0	Unknown	FALSE	PEDOT:PSS		Spin-coating	Al	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.01	20	0.79	16.1	1.01	20	0.79	16.1	Reversed	Reversed	Reversed	Reversed	buffer
Dong et al.	2015/6/23	Energy & Environmental Science	SLG | ITO | PTAA | Perovskite | PCBM-60 | C60 | BCP | Al	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-60 | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> Spin-coating	Liquid >> Liquid	Unknown	DMF >> IPA	1 >> 1	FALSE	Unknown >> 60.0	Unknown	FALSE	PTAA		Spin-coating	Al	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.1	21.96	0.78	18.9	1.1	21.96	0.78	18.9	Reversed	Reversed	Reversed	Reversed	buffer
Zhang et al.	2019/5/16	The Journal of Physical Chemistry Letters	SLG | FTO | NiMgLiO | Perovskite | PCBM-60 | BCP | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | FTO	PCBM-60 | BCP	Spin-coating | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	FAPbI3	FALSE	FALSE	1.48	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	150	Unknown	FALSE	NiMgLiO		Spray-pyrolys	Ag	5.0 | 90.0	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.795	14.94	0.389	4.62	0.795	14.94	0.389	17.42	Reversed	Reversed	Reversed	Stabilised	buffer
Zhang et al.	2019/5/16	The Journal of Physical Chemistry Letters	SLG | FTO | NiMgLiO | Perovskite | PCBM-60 | BCP | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | FTO	PCBM-60 | BCP	Spin-coating | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.05FA0.95PbBr0.15I2.85	FALSE	FALSE	1.48	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	150	Unknown	FALSE	NiMgLiO		Spray-pyrolys	Ag	5.0 | 90.0	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.922	19.02	0.612	10.74	0.922	19.02	0.612	17.42	Reversed	Reversed	Reversed	Stabilised	buffer
Zhang et al.	2019/5/16	The Journal of Physical Chemistry Letters	SLG | FTO | NiMgLiO | Perovskite | PCBM-60 | BCP | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | FTO	PCBM-60 | BCP	Spin-coating | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.1FA0.9PbBr0.3I2.7	FALSE	FALSE	1.48	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	150	Unknown	FALSE	NiMgLiO		Spray-pyrolys	Ag	5.0 | 90.0	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.952	22.4	0.762	16.25	0.952	22.4	0.762	17.42	Reversed	Reversed	Reversed	Stabilised	buffer
Zhang et al.	2019/5/16	The Journal of Physical Chemistry Letters	SLG | FTO | NiMgLiO | Perovskite | PCBM-60 | BCP | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | FTO	PCBM-60 | BCP	Spin-coating | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.15FA0.85PbBr0.45I2.55	FALSE	FALSE	1.48	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	150	Unknown	FALSE	NiMgLiO		Spray-pyrolys	Ag	5.0 | 90.0	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.011	21.88	0.795	17.59	1.011	21.88	0.795	17.42	Reversed	Reversed	Reversed	Stabilised	buffer
Zhang et al.	2019/5/16	The Journal of Physical Chemistry Letters	SLG | FTO | NiMgLiO | Perovskite | PCBM-60 | BCP | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | FTO	PCBM-60 | BCP	Spin-coating | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.2FA0.8PbBr0.6I2.4	FALSE	FALSE	1.48	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	4; 1	TRUE	150	Unknown	FALSE	NiMgLiO		Spray-pyrolys	Ag	5.0 | 90.0	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.021	21.54	0.788	17.32	1.021	21.54	0.788	17.42	Reversed	Reversed	Reversed	Stabilised	buffer
Gao et al.	2019/3/2	Nano Energy	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	7; 3	TRUE	100	15	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	40	FALSE	100	1.08	22.5	0.761	18.51	1.08	22.5	0.761	18.51	Reversed	Reversed	Reversed	Reversed	buffer
Gao et al.	2019/3/2	Nano Energy	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.01MA0.99PbBr0.03I2.97	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	7; 3	TRUE	100	15	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	40	FALSE	100	1.1	22.3	0.788	19.4	1.1	22.3	0.788	19.4	Reversed	Reversed	Reversed	Reversed	buffer
Gao et al.	2019/3/2	Nano Energy	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.02MA0.98PbBr0.06I2.94	FALSE	FALSE	1.6	FALSE		1	Spin-coating	Liquid	N2	DMF; DMSO	7; 3	TRUE	100	15	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	40	FALSE	100	1.13	22.81	0.79	20.46	1.13	22.81	0.79	20.46	Reversed	Reversed	Reversed	Reversed	buffer
Gao et al.	2019/3/2	Nano Energy	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	Cs0.03MA0.97PbBr0.09I2.91	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	N2	DMF; DMSO	7; 3	TRUE	100	15	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Au	100	Evaporation	FALSE	FALSE	FALSE	TRUE	40	FALSE	100	0.984	20.52	0.722	14.58	0.984	20.52	0.722	14.58	Reversed	Reversed	Reversed	Reversed	buffer
Ting et al.	2017/12/1	Japanese Journal of Applied Physics	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Ag	0.03	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL	3; 7	TRUE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.86	19.63	0.58	9.86	0.86	19.63	0.58	9.86	Reversed	Reversed	Reversed	Reversed	buffer
Ting et al.	2017/12/1	Japanese Journal of Applied Physics	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Ag	0.03	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL	3; 7	TRUE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.85	20.62	0.57	10.03	0.85	20.62	0.57	10.03	Reversed	Reversed	Reversed	Reversed	buffer
Ting et al.	2017/12/1	Japanese Journal of Applied Physics	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Ag	0.03	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL	3; 7	TRUE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.87	19.71	0.6	10.33	0.87	19.71	0.6	10.33	Reversed	Reversed	Reversed	Reversed	buffer
Ting et al.	2017/12/1	Japanese Journal of Applied Physics	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Ag	0.03	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMSO; GBL	3; 7	TRUE	100	10	FALSE	Spiro-MeOTAD	Li-TFSI; TBP	Spin-coating	Ag	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.87	20.69	0.62	11.24	0.87	20.69	0.62	11.24	Reversed	Reversed	Reversed	Reversed	buffer
Islavath et al.	2018/5/26	Solar Energy	SLG | FTO | ZnO-c | ZnO-nw | TiO2-c | Perovskite | Au	0.16	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	ZnO-c | ZnO-nw | TiO2-c	Spin-coating | Hydrothermal | Hydrothermal	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> Spin-coating	Liquid >> Liquid	Air >> Air	DMF >> IPA	1 >> 1	FALSE	120.0 >> 120.0	10.0 >> 10.0	FALSE	none		Unknown	Au		Sputtering	FALSE	FALSE	FALSE	TRUE	8	FALSE	100	0.853	13.95	0.547	6.5	0.853	13.95	0.547	6.5	Reversed	Reversed	Reversed	Reversed	buffer
Islavath et al.	2018/5/26	Solar Energy	SLG | FTO | ZnO-c | ZnO-nw | Perovskite | Au	0.16	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	ZnO-c | ZnO-nw	Spin-coating | Hydrothermal	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	2	Spin-coating >> Spin-coating	Liquid >> Liquid	Air >> Air	DMF >> IPA	1 >> 1	FALSE	120.0 >> 120.0	10.0 >> 10.0	FALSE	none		Unknown	Au		Sputtering	FALSE	FALSE	FALSE	TRUE	8	FALSE	100	0.754	12.71	0.469	4.49	0.754	12.71	0.469	4.49	Reversed	Reversed	Reversed	Reversed	buffer
Hu et al.	2016/6/24	ACS Applied Materials & Interfaces	SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Carbon	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-mp	ALD | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	Unknown	Unknown	FALSE	none		Unknown	Carbon	10000	Doctor blading	FALSE	FALSE	FALSE	TRUE	12	FALSE	100	0.856	12.74	0.44	4.85	0.856	12.74	0.44	4.85	Reversed	Reversed	Reversed	Reversed	buffer
