Ref_lead_author	Ref_publication_date	Ref_journal	Cell_stack_sequence	Cell_area_measured	Cell_number_of_cells_per_substrate	Cell_architecture	Cell_flexible	Cell_semitransparent	Module	Module_number_of_cells_in_module	Substrate_stack_sequence	ETL_stack_sequence	ETL_deposition_procedure	Perovskite_single_crystal	Perovskite_dimension_0D	Perovskite_dimension_2D	Perovskite_dimension_2D3D_mixture	Perovskite_dimension_3D	Perovskite_dimension_3D_with_2D_capping_layer	Perovskite_dimension_list_of_layers	Perovskite_composition_perovskite_ABC3_structure	Perovskite_composition_perovskite_inspired_structure	Perovskite_composition_long_form	Perovskite_composition_inorganic	Perovskite_composition_leadfree	Perovskite_band_gap	Perovskite_band_gap_graded	Perovskite_band_gap_estimation_basis	Perovskite_deposition_number_of_deposition_steps	Perovskite_deposition_procedure	Perovskite_deposition_aggregation_state_of_reactants	Perovskite_deposition_synthesis_atmosphere	Perovskite_deposition_solvents	Perovskite_deposition_solvents_mixing_ratios	Perovskite_deposition_quenching_induced_crystallisation	Perovskite_deposition_thermal_annealing_temperature	Perovskite_deposition_thermal_annealing_time	Perovskite_deposition_solvent_annealing	HTL_stack_sequence	HTL_additives_compounds	HTL_deposition_procedure	Backcontact_stack_sequence	Backcontact_thickness_list	Backcontact_deposition_procedure	Add_lay_front	Add_lay_back	Encapsulation	JV_measured	JV_average_over_n_number_of_cells	JV_certified_values	JV_light_intensity	JV_reverse_scan_Voc	JV_reverse_scan_Jsc	JV_reverse_scan_FF	JV_reverse_scan_PCE	JV_default_Voc	JV_default_Jsc	JV_default_FF	JV_default_PCE	JV_default_Voc_scan_direction	JV_default_Jsc_scan_direction	JV_default_FF_scan_direction	JV_default_PCE_scan_direction	buffer
Wang et al.	2017/6/6	Electrochimica Acta	SLG | FTO | TiO2-c | TiO2-nw | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-nw	CBD | Hydrothermal	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Ar	DMF	1	FALSE	110	60	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.83	21.3	0.64	11.5	0.83	21.3	0.64	11.5	Reversed	Reversed	Reversed	Reversed	buffer
Wang et al.	2017/6/6	Electrochimica Acta	SLG | FTO | TiO2-c | TiO2-nw | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-nw	CBD | Hydrothermal	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Ar	DMF	1	FALSE	110	60	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	80	Evaporation	FALSE	FALSE	FALSE	TRUE	10	FALSE	100	0.87	21.7	0.66	12.9	0.87	21.7	0.66	12.9	Reversed	Reversed	Reversed	Reversed	buffer
Cohen et al.	2016/12/12	Advanced Functional Materials	SLG | FTO | TiO2-c | TiO2-np | Perovskite | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-np	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbBr3	FALSE	FALSE	2.2	FALSE		1	Spin-coating	Liquid	Unknown	DMSO; GBL	1; 1	TRUE	100	60	FALSE	none		Unknown	Au	70	Evaporation	FALSE	FALSE	FALSE	TRUE	60	FALSE	100	1.11	8.1	0.58	5.2	1.11	8.1	0.58	5.2	Reversed	Reversed	Reversed	Reversed	buffer
Cohen et al.	2016/12/12	Advanced Functional Materials	SLG | FTO | TiO2-c | TiO2-np | Perovskite | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-np	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbBr3	FALSE	FALSE	2.2	FALSE		1	Spin-coating	Liquid	Unknown	DMSO; GBL	1; 1	TRUE	100	60	FALSE	none		Unknown	Au	70	Evaporation	FALSE	FALSE	FALSE	TRUE	60	FALSE	100	1.14	9.6	0.56	6.2	1.14	9.6	0.56	6.2	Reversed	Reversed	Reversed	Reversed	buffer
Cohen et al.	2016/12/12	Advanced Functional Materials	SLG | FTO | TiO2-c | TiO2-np | Perovskite | Spiro-MeOTAD | Au	0.1	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c | TiO2-np	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbBr3	FALSE	FALSE	2.2	FALSE		1	Spin-coating	Liquid	Unknown	DMSO; GBL	1; 1	TRUE	100	60	FALSE	Spiro-MeOTAD	Co-TPTB; Li-TFSI; TBP	Spin-coating	Au	70	Evaporation	FALSE	FALSE	FALSE	TRUE	60	FALSE	100	1.14	9.6	0.56	6.2	1.14	9.6	0.56	6.2	Reversed	Reversed	Reversed	Reversed	buffer
Chen et al.	2016/12/29	Chinese Journal of Polymer Science	SLG | ITO | PEDOT:PSS | Perovskite | PCBM-70 | BCP | Ag	0.06	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-70 | BCP	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF; DMSO	9; 1	TRUE	70; 100	1.0; 8.0	FALSE	PEDOT:PSS		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.85	18.23	0.81	12.68	0.85	18.23	0.81	12	Reversed	Reversed	Reversed	Stabilised	buffer
Chen et al.	2016/12/29	Chinese Journal of Polymer Science	SLG | ITO | PEDOT:PSS | Perovskite | PCBM-70 | BCP | Ag	0.06	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-70 | BCP	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF; DMSO	9; 1	TRUE	70; 100	1.0; 8.0	FALSE	PEDOT:PSS		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.83	14.44	0.78	9.49	0.83	14.44	0.78	9	Reversed	Reversed	Reversed	Stabilised	buffer
Chen et al.	2016/12/29	Chinese Journal of Polymer Science	SLG | ITO | PEDOT:PSS | Perovskite | PCBM-70 | BCP | Ag	0.06	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-70 | BCP	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF; DMSO	9; 1	TRUE	70; 100	1.0; 8.0	FALSE	PEDOT:PSS		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	50	FALSE	100				12.03				12.03				Reversed	buffer
Chen et al.	2016/12/29	Chinese Journal of Polymer Science	SLG | ITO | PEDOT:PSS | Perovskite | PCBM-70 | BCP | Ag	0.06	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM-70 | BCP	Spin-coating | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF; DMSO	9; 1	TRUE	70; 100	1.0; 8.0	FALSE	PEDOT:PSS		Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	50	FALSE	100				8.61				8.61				Reversed	buffer
Guerrero et al.	2014/9/30	Applied Physics Letters	SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au	0.08	0	nip	FALSE	FALSE	FALSE	0	SLG | FTO	TiO2-c	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.6	FALSE	Composition	1	Spin-coating	Liquid	Unknown	DMF	1	FALSE	100	Unknown	FALSE	Spiro-MeOTAD	Li-TFSI; TPB	Spin-coating	Au	60	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.913	15.77	0.7	10	0.913	15.77	0.7	10	Reversed	Reversed	Reversed	Reversed	buffer
