		0	Ref. ID temp (Integer starting from 1 and counting upwards)	SAM_Position	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	buffer
1	12	Shuo Zhang et al.	4	0	2022/9/9	ACS Materials Letter	SLG | ITO | Cz-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3 | Cs0.05(MA0.08FA0.92)0.95Pb(I0.92Br0.08)3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	Cz-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.03	22.5	0.82	19	1.03	22.5	0.82	19					buffer
1	13	Shuo Zhang et al.	4	0	2022/9/9	ACS Materials Letter	SLG | ITO | Cz-Ph-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3 | Cs0.05(MA0.08FA0.92)0.95Pb(I0.92Br0.08)3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	Cz-Ph-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.05	23	0.83	19.7	1.05	23	0.83	19.7					buffer
1	14	Shuo Zhang et al.	4	0	2022/9/9	ACS Materials Letter	SLG | ITO | TPA-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3 | Cs0.05(MA0.08FA0.92)0.95Pb(I0.92Br0.08)3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	TPA-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	0.97	21.9	0.775	16.7	0.97	21.9	0.775	16.7					buffer
1	15	Shuo Zhang et al.	4	0	2022/9/9	ACS Materials Letter	SLG | ITO | TPA-Ph-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3 | Cs0.05(MA0.08FA0.92)0.95Pb(I0.92Br0.08)3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	TPA-Ph-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.07	22.6	0.823	19.5	1.07	22.6	0.823	19.5					buffer
1	16	Shuo Zhang et al.	4	0	2022/9/9	ACS Materials Letter	SLG | ITO | MPA-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3 | Cs0.05(MA0.08FA0.92)0.95Pb(I0.92Br0.08)3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	MPA-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.03	23	0.812	19.4	1.03	23	0.812	19.4					buffer
1	17	Shuo Zhang et al.	4	0	2022/9/9	ACS Materials Letter	SLG | ITO | MPA-Ph-CA | Perovskite | PCBM | C60 | BCP | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PCBM | C60 | BCP	Spin-coating | Evaporation | Evaporation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3 | Cs0.05(MA0.08FA0.92)0.95Pb(I0.92Br0.08)3	FALSE	FALSE	1.56	FALSE	UPS	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>DMF; DMSO	4:1>>4:1	FALSE	100>>100	10 >> 60	FALSE	MPA-Ph-CA	Undoped	Spin-coating	Ag	100	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.139	23.55	0.8402	22.53	1.132	23.62	0.8242	22.05					buffer
1	18	E. Yalcin et al.	5	0	2018/10/3	Energy & Environmental Science	SLG | ITO | TPA | PEDOT:PSS | Perovskite | PC60BM | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC60BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	TPA | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ag	120	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.06	19.4	0.769	15.9	1.06	19.4	0.769	15.9					buffer
1	19	E. Yalcin et al.	5	0	2018/10/3	Energy & Environmental Science	SLG | ITO | MC-43 | PEDOT:PSS | Perovskite | PC61BM | Ag	0.09	0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	PC61BM	Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	MAPbI3	FALSE	FALSE	1.5	FALSE	Literature	2	Spin-coating>>Spin-coating	Liquid>>Liquid	N2>>N2	DMF; DMSO>>IPA	920:80>>1	FALSE	25>>100	0>>10	FALSE	MC-43 | PEDOT:PSS	Undoped	CBD >> Spin-coating	Ag	120	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.08	20.1	0.8	17.3	1.08	20.1	0.8	17.3					buffer
1	20	Qiaogan Liao et al.	6	0	2021/11/1	Journal of Energy Chemistry	SLG | ITO | MPA-BT-RA | Perovskite | C60 | ZrAcac | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | ZrAcac	Evaporation | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	(FA0.17MA0.94PbI3.11)0.95(PbCl2)0.05	FALSE	FALSE	1.53	FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	9;1	TRUE	60>>100	2>>30	FALSE	MPA-BT-RA	Undoped	CBD	Ag	130	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.1	22.03	0.811	19.65	1.09	21.58	0.798	18.72					buffer
1	21	Qiaogan Liao et al.	6	0	2021/11/1	Journal of Energy Chemistry	SLG | ITO | MPA-BT-BA | Perovskite | C60 | ZrAcac | Ag		0	pin	FALSE	FALSE	FALSE	0	SLG | ITO	C60 | ZrAcac	Evaporation | Spin-coating	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	TRUE	FALSE	(FA0.17MA0.94PbI3.11)0.95(PbCl2)0.05	FALSE	FALSE	1.53	FALSE	Literature	2	Spin-coating	Liquid	N2	DMF; DMSO	9;1	TRUE	60>>100	2>>30	FALSE	MPA-BT-BA	Undoped	CBD	Ag	130	Evaporation	FALSE	FALSE	FALSE	TRUE	1	FALSE	100	1.12	22.76	0.81	20.58	1.12	22.66	0.808	20.45					buffer
